,id,operation_time,code,category,timeout,answer,status
328,329,2020-01-26 01:15:03.832886,100-13579-77,None,0.046424,PaymentPropertyException: BIS-01275: Incorrect payment property ТЕЛЕФОН ОТПРАВИТЕЛЯ	: обязательно для заполнения,Format
329,330,2020-01-26 01:15:29.563994,111-14797-1,None,25.7105,bisys.OtherException: BIS-01648: OtherError:Ошибка подключения к серверу оператора. HTTP protocol error,Error
330,331,2020-01-26 01:15:30.273831,111-14795-1,None,0.692269,bisys.UnknownAccountException: BIS-01640: Unknown ПОЗЫВНОЙ 1,OK
331,332,2020-01-26 01:15:30.338965,100-13579-76,None,0.046971,PaymentPropertyException: BIS-01275: Incorrect payment property ТЕЛЕФОН ОТПРАВИТЕЛЯ	: обязательно для заполнения,Format
332,333,2020-01-26 01:15:32.415264,111-14789-2,None,2.057562,"--SUCCESS--Такси Мираж(id:11875, code:111-14789-2)properties:{ПОЗЫВНОЙ=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
333,334,2020-01-26 01:15:32.855277,111-14789-1,None,0.422106,"--SUCCESS--Такси Мираж(id:11963, code:111-14789-1)properties:{ПОЗЫВНОЙ=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
334,335,2020-01-26 01:15:32.921090,979-14784-1,None,0.045782,PaymentPropertyException: BIS-01275: Incorrect payment property Фамилия и имя ребенка: обязательно для заполнения,Format
335,336,2020-01-26 01:15:32.983347,111-14779-1,None,0.046957,PaymentPropertyException: BIS-01275: Incorrect payment property Имя: обязательно для заполнения,Format
336,337,2020-01-26 01:15:33.445715,111-14745-4,None,0.445748,"--SUCCESS--ГК ""Стифкор"" ул. К.Цеткин 8б(id:11854, code:111-14745-4)properties:{НОМЕР_ЗАКАЗА=11111}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
337,338,2020-01-26 01:15:34.205062,111-14745-3,None,0.738742,"--SUCCESS--ГК ""Стифкор"" ул. Беломорская 69а(id:11853, code:111-14745-3)properties:{НОМЕР_ЗАКАЗА=11111}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
338,339,2020-01-26 01:15:34.681440,111-14745-2,None,0.45789,"--SUCCESS--ГК ""Стифкор"" с.Новая тура ул. Луговая 20б(id:11852, code:111-14745-2)properties:{НОМЕР_ЗАКАЗА=11111}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
339,340,2020-01-26 01:15:34.749494,979-14771-1,None,0.045568,PaymentPropertyException: BIS-01275: Incorrect payment property Группа/Класс: обязательно для заполнения,Format
340,341,2020-01-26 01:15:34.812030,111-14770-2,None,0.044072,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
341,342,2020-01-26 01:15:34.878301,111-14770-1,None,0.045772,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
342,343,2020-01-26 01:15:34.941629,979-14759-2,None,0.048482,provider == null,Услга не выведена
343,344,2020-01-26 01:15:35.981992,111-11182-2,None,1.023156,bisys.OtherException: BIS-01648: OtherError:99: Не удалось проверить позывной,OK
344,345,2020-01-26 01:15:36.043101,111-14755-1,None,0.044235,PaymentPropertyException: BIS-01275: Incorrect payment property Номер бланка заказа: обязательно для заполнения,Format
345,346,2020-01-26 01:15:36.105228,111-14754-1,None,0.043668,PaymentPropertyException: BIS-01275: Incorrect payment property Номер бланка заказа: обязательно для заполнения,Format
346,347,2020-01-26 01:15:36.167172,100-13579-75,None,0.044221,PaymentPropertyException: BIS-01275: Incorrect payment property ТЕЛЕФОН ОТПРАВИТЕЛЯ	: обязательно для заполнения,Format
